id,milestone,priority,title,owner_role,size,status,dependencies,requirement_ids,acceptance_ids,deliverable,acceptance_criteria
WX-M2-007,M2,Must,Implement canonical Markdown normalization,content_owner,L,todo,WX-M2-006,FR-057;FR-058;FR-063;NFR-C-006;NFR-L-002;NFR-L-005,AC-001;AC-027,Stable frontmatter/body/link/table/code normalization.,"Golden output is deterministic with UTF-8 LF, generated frontmatter and final newline."
WX-M2-008,M2,Must,Implement content and semantic hashes/version decision,data_owner,M,todo,WX-M2-007;WX-M1-002,FR-051;FR-052;FR-065,AC-002;AC-024,Hash/version service distinguishing unchanged/material changes.,Unchanged content reuses version; material fixture change creates exactly one new ordinal.
WX-M2-009,M2,Must,Implement canonical page and page version repositories,data_owner,L,todo,WX-M2-008;WX-M1-010,FR-051;FR-052;FR-059;FR-071;NFR-D-002,AC-001;AC-002,Page/alias/version/link/tag persistence and invariants.,Current version references valid committed artifact and canonical alias rules are deterministic.
WX-M2-010,M2,Must,Implement deterministic chunker and chunk artifacts,content_owner,L,todo,WX-M2-007;WX-M2-009,FR-064,AC-027,"Structural/token chunks with stable IDs, heading/source locations and JSONL.",Two runs produce identical boundaries/IDs/hashes; each chunk maps to source version.
WX-M2-011,M2,Must,Implement full success/failure/redirect receipt pipeline,content_owner,M,todo,WX-M2-001;WX-M2-009;WX-M1-011,FR-040;FR-050;FR-062,AC-001;AC-002;AC-005;AC-006;AC-007,Terminal receipts for all fetch outcomes.,Every accepted terminal fixture visit has one receipt; no secret/raw hostile body is embedded.
WX-M2-012,M2,Must,Expose fetch and deterministic extract API/CLI,control_plane_owner,L,todo,WX-M2-011;WX-M1-014,FR-001;FR-002;FR-003;FR-004;FR-005,AC-001;AC-002,`webx fetch`/`extract` and API routes.,"Human/JSON output returns bounded excerpt, IDs, paths, warnings and projection states."
WX-M2-013,M2,Should,Implement local artifact/page/visit read and diff commands,control_plane_owner,M,todo,WX-M2-009;WX-M2-012,FR-027;FR-065;FR-073,AC-023,Read/excerpt/metadata/version/diff CLI/API.,Visibility enforced; bounded excerpts work offline and label retrieval timestamps.
WX-M2-014,M2,Must,Add fault-injection and corpus pipeline E2E suite,quality_owner,L,todo,WX-M2-001;WX-M2-011;WX-M2-012,NFR-R-005;NFR-M-002,AC-001;AC-002;AC-005;AC-006;AC-007;AC-027,M2 end-to-end and atomicity evidence.,All acceptance fixtures pass and crash points leave no partial accepted page version.
WX-M3-001,M3,Must,Deploy pinned Meilisearch CE with scoped keys,search_owner,M,todo,WX-M0-012;WX-M1-001,FR-080;FR-086;NFR-SEC-005,,"Internal Meilisearch service, master/admin/search key provisioning.",No public listener; clients never receive admin/master key; readiness reports health.
WX-M3-002,M3,Must,Implement page/current chunk/history document builders,search_owner,L,todo,WX-M2-009;WX-M2-010,FR-081;FR-082;FR-083,AC-009;AC-026,Deterministic Meilisearch documents and visibility fields.,Document IDs/fields validate against settings and source hashes/IDs resolve.
WX-M3-003,M3,Must,Apply versioned Meilisearch index settings before load,search_owner,M,todo,WX-M3-001;WX-M3-002,FR-080,AC-009,Index manifest/settings migrator.,Fresh indexes have exact settings/primary keys before any document ingestion.
WX-M3-004,M3,Must,Implement durable index outbox and task reconciliation,data_owner,L,todo,WX-M3-002;WX-M1-002,FR-084;NFR-R-006,AC-009,"Transactional projection rows, batching, Meilisearch task polling/recovery.",Crash at submit/ack is replay-safe; source commit succeeds during Meilisearch outage.
WX-M3-005,M3,Must,Implement local lexical page/chunk/history search,search_owner,L,todo,WX-M3-003;WX-M3-004,FR-021;FR-024;FR-027;FR-085;FR-086;NFR-L-004,AC-023;AC-026,Search API/CLI with filters/facets/highlights and evidence labels.,Queries honor visibility/collection and return current/history IDs/artifacts.
WX-M3-006,M3,Should,Implement local result fusion and deduplication,search_owner,M,todo,WX-M3-005,FR-023;FR-026;FR-085,,Reciprocal rank fusion for page/chunk/local provider results.,Provider rank/provenance retained; duplicate canonical URLs collapse predictably.
WX-M3-007,M3,Must,Implement online/offline Meilisearch rebuild and validation,search_owner,L,todo,WX-M3-003;WX-M3-004;WX-M3-005,FR-072;FR-087;NFR-P-008,AC-009,"Versioned rebuild, count/hash/query validation and atomic switch.",Deleting index data and rebuilding reproduces acceptance-equivalent results and visibility.
WX-M3-008,M3,Must,Implement wiki consumer registry and visibility policy,data_owner,M,todo,WX-M1-004;WX-M2-009,FR-090;FR-095,AC-011,Consumer/collection/max-visibility records and eligibility.,Private/secret ineligible by default; attempted over-ceiling delivery is denied/tested.
WX-M3-009,M3,Must,Implement wiki intake envelope and filesystem export,data_owner,L,todo,WX-M3-008;WX-M1-010,FR-091;FR-092;FR-096,AC-010,Atomic JSON envelope export referencing source Markdown.,Envelope schema/hash validates; temp/rename crash recovery is deterministic.
WX-M3-010,M3,Must,"Implement wiki cursor API, leases and acknowledgements",control_plane_owner,L,todo,WX-M3-009;WX-M1-013,FR-092;FR-093,AC-010,Scoped consumer endpoints and stable sequence cursor.,Ack/reject/defer are idempotent; out-of-order/duplicate cases pass.
WX-M3-011,M3,Must,"Implement wiki retries, dead letter, replay and backfill",data_owner,L,todo,WX-M3-010,FR-094;FR-097,AC-010;AC-020,Dispatcher/reconciliation/backfill/tombstone state.,Three replays create one logical wiki version; tombstones cannot be silently lost.
WX-M3-012,M3,Must,Expose corpus/index/wiki CLI administration,control_plane_owner,M,todo,WX-M3-005;WX-M3-007;WX-M3-011,FR-001;FR-003;FR-073;FR-087;FR-094,AC-009;AC-010,Search/status/drain/rebuild/wiki status/replay/backfill commands.,"Commands match API, use safe confirmation, and report backlog/task states."
WX-M3-013,M3,Should,"Implement corpus statistics, export and capacity forecast",data_owner,M,todo,WX-M3-005,FR-073;FR-083;FR-089;NFR-S-001,,Stats by kind/collection/visibility and JSONL/Markdown/Parquet export jobs.,Exports enforce visibility and forecast measured storage/index growth.
WX-M3-014,M3,Must,Qualify corpus nucleus MVP,quality_owner,L,todo,WX-M3-007;WX-M3-011;WX-M3-012;WX-M3-903;WX-M3-904;WX-M3-905,FR-021;FR-072;FR-087;FR-090;FR-092;FR-094;NFR-P-002;NFR-P-005;NFR-P-006;FR-020;FR-022;FR-027;FR-088;FR-089;FR-096,AC-001;AC-002;AC-009;AC-010;AC-011;AC-023;AC-026,"M0-M3 acceptance, outage, rebuild and wiki replay evidence.",MVP quality gate passes on clean CPU host with models disabled.
WX-M3-901,M3,Must,Deploy and harden self-hosted SearXNG current-web discovery,search_owner,L,todo,WX-M0-012;WX-M1-901;WX-M1-902,FR-020;FR-023;FR-024;FR-025;FR-026;FR-044;NFR-SEC-011,AC-005;AC-029,"Pinned SearXNG service, engine configuration, scoped local API adapter, health scoring, safe result limits and egressd routing.",Fixture queries return normalized provider-attributed results; unhealthy engines degrade independently; search-only creates no visits; direct origin access outside egressd is impossible.
WX-M3-902,M3,Must,Implement research discovery adapters and deterministic result normalization,search_owner,L,todo,WX-M3-901;WX-M1-006,FR-020;FR-022;FR-023;FR-024;FR-025;FR-026,AC-029,"Crossref, arXiv and PubMed adapters plus common normalized search record, provider health, caching and reciprocal-rank fusion.",Recorded fixtures preserve provider/rank/query/timestamp and filters; identical inputs fuse deterministically; disabled or throttled providers do not fail the search job.
WX-M3-903,M3,Must,"Expose external, local and offline search with explicit fetch handoff",control_plane_owner,L,todo,WX-M3-005;WX-M3-902;WX-M1-014,FR-001;FR-002;FR-003;FR-020;FR-021;FR-022;FR-023;FR-024;FR-025;FR-026;FR-027,AC-023;AC-029,"`webx search` and API routes for source selection, filters, JSON/JSONL, offline mode and explicit result fetch.",Search-only writes no visit; selected `--fetch` enters the normal visit/Markdown pipeline; offline mode emits zero egress and combines only local indexes/artifacts.
WX-M3-904,M3,Should,Implement policy-aware exact and regex corpus search,search_owner,M,todo,WX-M2-009;WX-M1-004,FR-027;FR-073;FR-088,AC-023;AC-026,"Controlled ripgrep-all adapter with approved roots, visibility filters, bounded excerpts/results and optional SQLite FTS5 fallback.",Exact/regex searches work offline across allowed artifacts; path traversal and secret visibility are denied; output links to immutable artifact IDs and source locations.
WX-M3-905,M3,Should,Implement read-only DuckDB corpus analytics over approved exports,data_owner,M,todo,WX-M3-013;WX-M1-004,FR-073;FR-089,AC-022;AC-023;AC-026,"Approved JSONL/CSV/Parquet views, read-only DuckDB runner, query/resource policy and structured result export.",Only SELECT-like read-only queries against approved views execute; live SQLite and arbitrary files are unreachable; time/memory/row limits and visibility are enforced.
WX-M4-001,M4,Must,Implement worker protocol and browserd service,retrieval_owner,L,todo,WX-M1-007;WX-M0-004,FR-005;FR-036;NFR-M-001,AC-019,Versioned lease/observation/staging protocol and persistent service.,"Capability negotiation, cancellation, heartbeat and crash isolation pass."
WX-M4-002,M4,Must,Implement Crawlee CheerioCrawler adapter,retrieval_owner,M,todo,WX-M4-001;WX-M2-001,FR-034;FR-037;FR-040,AC-001,Queued fast HTML adapter under policy grants.,Static fixture uses HTTP route and produces observation equivalent to core pipeline.
WX-M4-003,M4,Must,Implement Crawlee PlaywrightCrawler adapter,retrieval_owner,L,todo,WX-M4-001;WX-M0-007,FR-034;FR-036;FR-040;NFR-SEC-002,AC-003,Browser adapter with sandbox/interception/budgets/evidence.,SPA fixture renders; private subrequests blocked; browser crash contained.
WX-M4-004,M4,Must,Implement named ephemeral browser sessions,retrieval_owner,L,todo,WX-M4-003;WX-M1-004,FR-101,AC-017,"Session lifecycle, TTL, owner binding and document generations.",References are session/document scoped; expiry/close clears profile.
WX-M4-005,M4,Must,Implement browser snapshots and safe actions,retrieval_owner,L,todo,WX-M4-004,FR-100,AC-017;AC-018,Navigate/snapshot/click/type/select/upload/screenshot/PDF/console/network/trace.,No arbitrary JS for Pi; stale refs fail; secret typing is redacted.
WX-M4-006,M4,Must,Implement browser resource and download interception,security_owner,M,todo,WX-M4-003;WX-M1-006,FR-031;FR-044;FR-102;NFR-SEC-001,,Subresource/WebSocket/download policy enforcement.,Denied endpoint receives no traffic; downloads route through staged artifact handler.
WX-M4-007,M4,Must,Implement auto quality gates and route escalation,retrieval_owner,L,todo,WX-M2-005;WX-M4-002;WX-M4-003,FR-034;FR-039,AC-003,Quality score/reason routing HTTP -> browser.,Static stays HTTP; SPA escalates; reasons/observations are stored.
WX-M4-008,M4,Must,"Implement domain profiles, rate limits and circuit breakers",retrieval_owner,L,todo,WX-M4-007;WX-M1-002,FR-041,,"Per-domain capability cache, cooldown, retry-after and health circuit.",Known domains reuse route; repeated failures open circuit without global outage.
WX-M4-009,M4,Must,Implement durable crawl entity and frontier,retrieval_owner,L,todo,WX-M4-001;WX-M1-007,FR-005;FR-103;FR-104;NFR-S-002,AC-008,Crawl/frontier/checkpoint/scope/budget repositories.,100k queued fixture URLs do not grow daemon memory unbounded.
WX-M4-010,M4,Must,Implement Crawlee crawl execution and scope rules,retrieval_owner,L,todo,WX-M4-002;WX-M4-003;WX-M4-009,FR-042;FR-103,AC-008,HTTP/browser crawl with include/exclude/origin/robots/budgets.,Every dequeued attempted target receives receipt; unattempted never receives false receipt.
WX-M4-011,M4,Must,"Implement crawl pause, resume, cancel and restart recovery",retrieval_owner,M,todo,WX-M4-009;WX-M4-010,FR-005;FR-104,AC-008;AC-019,Control commands and safe checkpoint recovery.,Cancellation stops new leases; restart resumes without duplicate completed visits.
WX-M4-012,M4,Must,Expose browser and crawl API/CLI,control_plane_owner,L,todo,WX-M4-005;WX-M4-011,FR-001;FR-002;FR-100;FR-103;FR-104,AC-008;AC-022,Canonical command groups and API routes.,JSON/human outputs and permission implications match contract.
WX-M4-013,M4,Must,Implement browser/crawl resource telemetry and cleanup,operations_owner,M,todo,WX-M4-003;WX-M4-010,FR-164;NFR-O-002;NFR-S-003,AC-019,Memory/process/session/frontier metrics and orphan profile/staging cleanup.,Soak test has no unbounded growth; stale resources are quarantined/removed.
WX-M4-014,M4,Must,Qualify browser routing and crawl resilience,quality_owner,L,todo,WX-M4-007;WX-M4-011;WX-M4-013,FR-034;FR-036;FR-103;FR-104;NFR-P-007;NFR-R-002,AC-003;AC-008;AC-019,"M4 E2E, crash, SSRF and budget suite.",Exit gate passes on recommended CPU profile.
WX-M5-001,M5,Must,Implement pyfetchd worker service and protocol,retrieval_owner,M,todo,WX-M4-001;WX-M0-004,FR-005;NFR-M-001,AC-019,Persistent Python service with generated contracts/health/cancellation.,Startup/import/contract/cancellation fixture passes and failure does not affect webxd.
WX-M5-002,M5,Must,Implement Scrapling fetch/session adapter,retrieval_owner,L,todo,WX-M5-001;WX-M1-006,FR-034;FR-038;FR-040,AC-004,Pinned independent HTTP/browser observation path.,Static/JS fixtures work within policy and report exact engine version.
WX-M5-003,M5,Must,Integrate Trafilatura/extruct Python outputs,content_owner,M,todo,WX-M5-001;WX-M2-004;WX-M2-005,FR-055;FR-056,,Independent deterministic extraction candidates through worker protocol.,"Outputs normalize to common contract and divergence is preserved, not hidden."
WX-M5-004,M5,Should,Implement Crawl4AI RAG postprocessor adapter,content_owner,M,todo,WX-M5-001;WX-M2-007,FR-056;FR-060;FR-105,,Explicit rag-mode Markdown/chunk/corpus derivative with hooks disabled.,Core source fetch remains authoritative; disabling adapter removes only rag capability.
WX-M5-005,M5,Must,Implement observation comparison and text similarity,retrieval_owner,L,todo,WX-M4-007;WX-M5-002,FR-038;FR-056,AC-004,"Normalized comparison, field conflicts and agreement score.",Deliberate divergence yields explicit per-field observations and low confidence.
WX-M5-006,M5,Must,Implement verify routing and degraded semantics,retrieval_owner,M,todo,WX-M5-005;WX-M4-008,FR-034;FR-038,AC-004;AC-029,Concurrent independent attempts and strict minimum observation rule.,No silent verified value; unhealthy fallback reports degraded/unavailable per config.
WX-M5-007,M5,Must,Implement Scrapling health gating and canary,operations_owner,M,todo,WX-M5-002;WX-M0-008,FR-009;FR-161;NFR-M-001;NFR-C-005,AC-029,Version-pinned startup/deep fixtures and auto-disable.,Broken import/runtime excludes engine and core routing remains healthy.
WX-M5-008,M5,Must,Expose verify results and evidence in CLI/API,control_plane_owner,M,todo,WX-M5-006,FR-001;FR-002;FR-038;FR-040;FR-061,AC-004,Structured observations/conflicts/artifact references and exit 11 partial.,Critical disagreement is machine-readable and both evidence artifacts are accessible.
WX-M5-009,M5,Must,Qualify independent fallback and verification,quality_owner,M,todo,WX-M5-007;WX-M5-008,FR-038;FR-161;NFR-R-006,AC-004;AC-029,M5 acceptance and worker failure evidence.,Divergence and disabled-worker exit gates pass.
WX-M6-001,M6,Must,Publish stable generated TypeScript SDK package,control_plane_owner,M,todo,WX-M0-005;WX-M5-008,FR-002;FR-150;NFR-M-004,,"Versioned SDK with socket transport, idempotency, events and errors.",CLI/Pi contract tests use SDK; no duplicated DTO/business rules.
WX-M6-002,M6,Must,Create Pi package skeleton and WebX skill,control_plane_owner,M,todo,WX-M6-001,FR-150;FR-156,,Installable Pi extension/skill/config package.,Pi loads package in fixture session and capability discovery succeeds.
WX-M6-003,M6,Must,Implement Pi core tools,control_plane_owner,L,todo,WX-M6-002,FR-151,AC-017,web_search/fetch/extract/verify/job/artifact/capabilities.,Tools validate inputs and call only WebX SDK; large content is bounded.
WX-M6-004,M6,Must,Implement dynamic Pi capability groups,control_plane_owner,L,todo,WX-M6-003,FR-152,AC-029,Browser/crawl/media/document/archive/monitor/network/corpus tool registration.,Only enabled healthy groups register and refresh without schema duplication.
WX-M6-005,M6,Must,Implement Pi permission/elevation adapter,security_owner,M,todo,WX-M6-003;WX-M1-004,FR-155,AC-018,Safe approval descriptor and allow-once/deny flow.,Denied approval creates no backend job/process; Pi never gets admin scopes.
WX-M6-006,M6,Must,Implement Pi untrusted-content renderers,control_plane_owner,M,todo,WX-M6-003,FR-054;FR-153;FR-154;NFR-SEC-003,AC-017,Compact title/source/time/engine/trust/excerpt/artifact renderer.,Full large body is absent and trust label is always visible in structured result.
WX-M6-007,M6,Must,Implement Pi cancellation and event progress,control_plane_owner,M,todo,WX-M6-003;WX-M1-008,FR-005;FR-150;FR-151;NFR-A-004,,Tool cancellation to job and bounded progress updates.,Interrupted tool requests cancel/cooperate and do not flood context.
WX-M6-008,M6,Must,Complete all CLI command groups and machine help,control_plane_owner,L,todo,WX-M4-012;WX-M5-008;WX-M3-012,FR-001;FR-003;FR-004;NFR-A-005,AC-022,Normative CLI surface/help/completion/JSON output.,`webx help --json` maps every command to API operation and permission.
WX-M6-009,M6,Must,"Implement NO_COLOR, narrow terminal and structured-output tests",quality_owner,M,todo,WX-M6-008,FR-003;NFR-A-001;NFR-A-006,AC-022,CLI accessibility snapshot/contract suite.,Representative commands remain understandable at 80 columns and JSON/JSONL validates.
WX-M6-010,M6,Must,Implement Pi boundary/security test harness,quality_owner,L,todo,WX-M6-005;WX-M6-006;WX-M6-007,FR-150;FR-155;FR-156;NFR-SEC-007,AC-017;AC-018,Fixture Pi session and prohibited-path assertions.,No arbitrary command/path/admin/evaluate/direct-network route is exposed.
